year,all_drug_deaths,opioid_deaths,all_drug_rate,opioid_rate,rx_opioids_deaths,fentanyl_deaths,methadone_deaths,heroin_deaths
1999,16849,8050,6.1,2.9,2749,730,784,1960
2000,17415,8407,6.2,3.0,2917,782,986,1842
2001,19394,9496,6.8,3.3,3479,957,1456,1779
2002,23518,11913,8.2,4.1,4416,1295,2358,2089
2003,25785,12940,8.9,4.5,4867,1400,2972,2080
2004,27424,13756,9.4,4.7,5231,1664,3845,1878
2005,29813,14910,10.1,5.1,5774,1742,4460,2009
2006,34425,17541,11.5,5.9,7017,2707,5406,2088
2007,36010,18516,11.9,6.1,8158,2213,5518,2399
2008,36450,19582,11.9,6.4,9111,2306,4924,3041
2009,37004,20422,11.9,6.6,9735,2946,4696,3278
2010,38329,21089,12.3,6.8,10937,3007,4577,3036
2011,41340,22784,13.2,7.3,11689,2666,4418,4397
2012,41502,23157,13.1,7.4,11134,2628,3932,5925
2013,43982,25052,13.8,7.9,11342,3105,3591,8257
2014,47055,28647,14.7,9.0,12159,5544,3400,10574
2015,52404,33091,16.3,10.4,12727,9580,3301,12989
2016,63632,42249,19.8,13.3,14487,19413,3373,15469
2017,70237,47600,21.7,14.9,14495,28466,3194,15482
2018,67367,46802,20.7,14.6,12552,31335,3023,14996
2019,70630,49860,21.6,15.5,11886,36359,2740,14019
2020,91799,68630,28.3,21.4,13471,56516,3543,13165
2021,106699,80411,32.4,24.7,13620,70603,3678,9174
2022,107941,81806,32.6,25.0,11871,73838,3334,5871
2023,105007,79358,31.3,24.0,11871,73838,3334,3984
2024,79384,54045,23.1,16.0,7989,47735,3229,2743
