state,state_name,year,rate_per_100k,deaths
AL,Alabama,1999,0.8,37
AL,Alabama,2000,1.0,43
AL,Alabama,2001,1.3,57
AL,Alabama,2002,1.6,71
AL,Alabama,2003,1.1,49
AL,Alabama,2004,1.8,83
AL,Alabama,2005,1.8,80
AL,Alabama,2006,2.7,124
AL,Alabama,2007,3.6,165
AL,Alabama,2008,4.1,185
AL,Alabama,2009,4.5,206
AL,Alabama,2010,4.1,187
AL,Alabama,2011,3.8,176
AL,Alabama,2012,3.6,165
AL,Alabama,2013,3.5,166
AL,Alabama,2014,5.6,270
AL,Alabama,2015,6.1,282
AL,Alabama,2016,7.5,343
AL,Alabama,2017,9.0,422
AL,Alabama,2018,8.3,381
AL,Alabama,2019,8.9,414
AL,Alabama,2020,13.3,611
AL,Alabama,2021,21.2,981
AL,Alabama,2022,23.4,1097
AL,Alabama,2023,25.7,1202
AL,Alabama,2024,17.3,822
AK,Alaska,1999,4.0,27
AK,Alaska,2000,4.0,27
AK,Alaska,2001,,14
AK,Alaska,2002,,
AK,Alaska,2003,,11
AK,Alaska,2004,,10
AK,Alaska,2005,,18
AK,Alaska,2006,4.1,29
AK,Alaska,2007,,15
AK,Alaska,2008,12.5,88
AK,Alaska,2009,12.5,90
AK,Alaska,2010,8.7,62
AK,Alaska,2011,8.7,66
AK,Alaska,2012,10.8,81
AK,Alaska,2013,9.2,69
AK,Alaska,2014,10.6,76
AK,Alaska,2015,11.0,86
AK,Alaska,2016,12.5,94
AK,Alaska,2017,13.9,102
AK,Alaska,2018,8.8,68
AK,Alaska,2019,10.9,83
AK,Alaska,2020,15.2,112
AK,Alaska,2021,27.6,201
AK,Alaska,2022,25.1,188
AK,Alaska,2023,40.1,290
AK,Alaska,2024,37.0,277
AZ,Arizona,1999,4.7,229
AZ,Arizona,2000,4.8,235
AZ,Arizona,2001,5.2,265
AZ,Arizona,2002,6.2,320
AZ,Arizona,2003,6.4,340
AZ,Arizona,2004,6.3,344
AZ,Arizona,2005,6.6,375
AZ,Arizona,2006,7.8,459
AZ,Arizona,2007,7.7,461
AZ,Arizona,2008,8.1,494
AZ,Arizona,2009,9.8,605
AZ,Arizona,2010,9.9,626
AZ,Arizona,2011,8.8,562
AZ,Arizona,2012,8.2,526
AZ,Arizona,2013,8.2,527
AZ,Arizona,2014,8.8,589
AZ,Arizona,2015,10.2,671
AZ,Arizona,2016,11.4,769
AZ,Arizona,2017,13.5,928
AZ,Arizona,2018,15.9,1106
AZ,Arizona,2019,18.4,1290
AZ,Arizona,2020,26.8,1884
AZ,Arizona,2021,28.8,2000
AZ,Arizona,2022,27.4,1930
AZ,Arizona,2023,27.3,1950
AZ,Arizona,2024,23.0,1684
AR,Arkansas,1999,1.1,28
AR,Arkansas,2000,0.8,20
AR,Arkansas,2001,1.1,30
AR,Arkansas,2002,3.5,90
AR,Arkansas,2003,3.4,89
AR,Arkansas,2004,4.8,127
AR,Arkansas,2005,4.6,123
AR,Arkansas,2006,5.1,140
AR,Arkansas,2007,5.4,148
AR,Arkansas,2008,7.2,197
AR,Arkansas,2009,7.2,201
AR,Arkansas,2010,6.8,189
AR,Arkansas,2011,6.2,169
AR,Arkansas,2012,6.0,169
AR,Arkansas,2013,5.6,162
AR,Arkansas,2014,6.3,173
AR,Arkansas,2015,7.2,203
