section,group,year,rate
Race & ethnicity,White,2019,19.2
Race & ethnicity,White,2020,25.5
Race & ethnicity,White,2021,28.4
Race & ethnicity,White,2022,27.6
Race & ethnicity,White,2023,25.5
Race & ethnicity,White,2024,17.5
Race & ethnicity,Black,2019,17.3
Race & ethnicity,Black,2020,26.6
Race & ethnicity,Black,2021,33.5
Race & ethnicity,Black,2022,36.6
Race & ethnicity,Black,2023,37.6
Race & ethnicity,Black,2024,22.8
Race & ethnicity,Hispanic,2019,8.8
Race & ethnicity,Hispanic,2020,13.1
Race & ethnicity,Hispanic,2021,16.0
Race & ethnicity,Hispanic,2022,17.3
Race & ethnicity,Hispanic,2023,17.6
Race & ethnicity,Hispanic,2024,11.8
Race & ethnicity,Asian,2019,1.5
Race & ethnicity,Asian,2020,2.6
Race & ethnicity,Asian,2021,2.6
Race & ethnicity,Asian,2022,3.2
Race & ethnicity,Asian,2023,3.2
Race & ethnicity,Asian,2024,2.2
Race & ethnicity,American Indian / Alaska Native,2019,17.7
Race & ethnicity,American Indian / Alaska Native,2020,28.1
Race & ethnicity,American Indian / Alaska Native,2021,38.7
Race & ethnicity,American Indian / Alaska Native,2022,46.9
Race & ethnicity,American Indian / Alaska Native,2023,49.4
Race & ethnicity,American Indian / Alaska Native,2024,35.5
Age,Ages 18 to 25,2019,13.3
Age,Ages 18 to 25,2020,20.3
Age,Ages 18 to 25,2021,21.1
Age,Ages 18 to 25,2022,18.2
Age,Ages 18 to 25,2023,16.1
Age,Ages 18 to 25,2024,9.3
Age,Ages 26 to 44,2019,29.7
Age,Ages 26 to 44,2020,41.3
Age,Ages 26 to 44,2021,47.2
Age,Ages 26 to 44,2022,47.4
Age,Ages 26 to 44,2023,44.6
Age,Ages 26 to 44,2024,29.1
Age,Ages 45 to 64,2019,21.6
Age,Ages 45 to 64,2020,28.6
Age,Ages 45 to 64,2021,34.3
Age,Ages 45 to 64,2022,36.2
Age,Ages 45 to 64,2023,36.0
Age,Ages 45 to 64,2024,24.9
Age,Ages 65+,2019,4.3
Age,Ages 65+,2020,5.2
Age,Ages 65+,2021,6.8
Age,Ages 65+,2022,7.7
Age,Ages 65+,2023,8.7
Age,Ages 65+,2024,7.0
Sex,Male,2019,21.7
Sex,Male,2020,30.4
Sex,Male,2021,34.8
Sex,Male,2022,35.5
Sex,Male,2023,34.5
Sex,Male,2024,22.5
Sex,Female,2019,9.3
Sex,Female,2020,12.3
Sex,Female,2021,14.5
Sex,Female,2022,14.4
Sex,Female,2023,13.6
Sex,Female,2024,9.5
