"Title: Opioid Overdose Deaths and Death Rates per 100,000 Population by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2019 - 2024"
"Location","2019__White","2019__Black","2019__Hispanic","2019__Asian","2019__American Indian or Alaska Native","2020__White","2020__Black","2020__Hispanic","2020__Asian","2020__American Indian or Alaska Native","2021__White","2021__Black","2021__Hispanic","2021__Asian","2021__American Indian or Alaska Native","2022__White","2022__Black","2022__Hispanic","2022__Asian","2022__American Indian or Alaska Native","2023__White","2023__Black","2023__Hispanic","2023__Asian","2023__American Indian or Alaska Native","2024__White","2024__Black","2024__Hispanic","2024__Asian","2024__American Indian or Alaska Native"
"United States","19.2","17.3","8.8","1.5","17.7","25.5","26.6","13.1","2.6","28.1","28.4","33.5","16","2.6","38.7","27.6","36.6","17.3","3.2","46.9","25.5","37.6","17.6","3.2","49.4","17.5","22.8","11.8","2.2","35.5"
"Alabama","11.4","4.8","N/A","N/A","N/A","15.1","11.5","NSD","N/A","N/A","24.4","19.3","NSD","N/A","N/A","25.9","22.9","8.7","N/A","N/A","27.2","28.4","10","N/A","N/A","19.5","17","5.6","0","0"
"Alaska","10.2","N/A","N/A","N/A","NSD","13.4","N/A","N/A","N/A","24.8","23.3","N/A","N/A","N/A","58.9","20.7","N/A","NSD","NSD","53.9","30.6","NSD","NSD","N/A","94.6","26.3","86.2","28.8","N/A","78.5"
"Arizona","21.1","21.9","15.2","NSD","14.6","27.8","32.3","24","N/A","33.7","29.2","42.4","26.7","NSD","36.9","27.6","32.5","24.7","NSD","46.2","25.5","41.4","24.9","NSD","51.3","24.1","31.8","19.1","NSD","36.7"
"Arkansas","8.3","6","N/A","N/A","N/A","11.3","9.4","NSD","N/A","N/A","16","13.2","N/A","N/A","N/A","15.6","14.8","N/A","N/A","N/A","11.7","14.4","NSD","N/A","N/A","6.9","6.7","N/A","N/A","0"
"California","12.5","11.8","5.4","1.2","15.8","19.9","22","10.7","2.4","25.4","26.1","32.2","13.6","2.3","43.3","25.6","34.1","15.4","2.9","44.2","26","42.1","16.8","3.2","52.4","17.7","28.2","11.6","2.2","45.2"
"Colorado","10.3","17","11.9","N/A","N/A","15.3","23.8","19.7","NSD","N/A","20.5","30.8","26.6","N/A","55.9","17.5","32.1","24.7","NSD","NSD","18.6","45.8","27.8","NSD","48.3","14","27.7","21.6","N/A","37"
"Connecticut","36.7","27.2","32.4","N/A","N/A","40","40.1","36","N/A","N/A","38.8","54.2","41.2","NSD","N/A","34.6","55.3","45","N/A","N/A","30.5","50","37.7","N/A","N/A","22.4","33.6","24.7","4.8","N/A"
"Delaware","57.8","30.7","NSD","N/A","N/A","56.1","36.7","25","N/A","N/A","58.9","43.7","35.8","N/A","N/A","58.5","56.2","26.3","NSD","N/A","51","61","27.5","N/A","NSD","32.3","39.2","12.3","0","0"
"District of Columbia","NSD","63.6","N/A","N/A","N/A","9.6","84.3","NSD","N/A","N/A","8.8","90.6","N/A","N/A","N/A","8.7","94.2","NSD","N/A","NSD","9.2","98.3","NSD","N/A","NSD","4","68","12.9","N/A","0"
"Florida","29.9","8.1","9.1","N/A","N/A","42.6","14.7","12.5","3.9","N/A","44.2","17.9","14.6","NSD","NSD","39.3","19.5","14.1","2.9","NSD","33.9","17.3","12.9","2.9","NSD","21.8","12.3","7.1","1.2","17.9"
"Georgia","12","5.1","2.9","N/A","N/A","18.7","8","3.5","N/A","N/A","24.1","12.7","7","NSD","N/A","26.1","15.1","6.7","NSD","N/A","22.8","16.1","7.7","NSD","N/A","15.8","10.1","5.6","N/A","N/A"
"Hawaii","9.5","N/A","N/A","N/A","N/A","12.8","N/A","N/A","N/A","N/A","10.8","N/A","NSD","N/A","N/A","11.4","N/A","NSD","N/A","NSD","17.5","N/A","16.1","N/A","NSD","10.5","N/A","15.8","2.6","0"
"Idaho","8.5","N/A","NSD","N/A","N/A","9.8","N/A","N/A","N/A","N/A","13.4","N/A","9.3","N/A","N/A","15.5","N/A","7.9","N/A","NSD","14.2","N/A","13.4","N/A","N/A","11.6","N/A","5.4","N/A","55.5"
"Illinois","17.7","36.6","9","NSD","N/A","21.2","55.6","15.9","NSD","N/A","20.4","60.8","15.9","NSD","N/A","20.7","64","15.8","3.2","N/A","18.1","58.5","14.8","3.1","N/A","12.5","35.2","9.1","1.3","N/A"
"Indiana","22.4","20.8","6.5","N/A","N/A","32.4","39.8","12.1","N/A","N/A","34.9","55.5","18.4","N/A","N/A","32.9","54.4","14.4","N/A","N/A","26.2","45.7","20.2","N/A","N/A","18.3","28.7","8.7","N/A","N/A"
"Iowa","5","19.7","N/A","N/A","N/A","7.8","17.5","N/A","N/A","N/A","8.5","28.5","NSD","N/A","N/A","7","31","NSD","NSD","N/A","7.8","31.2","NSD","N/A","NSD","5.8","13.4","NSD","N/A","0"
"Kansas","7","NSD","NSD","N/A","N/A","9.2","16.3","6.6","N/A","N/A","15.8","22.8","11.3","N/A","N/A","17.6","30.2","13.1","N/A","N/A","13.2","36.1","11.4","N/A","N/A","11.3","29.5","8.5","N/A","N/A"
"Kentucky","26.4","22.2","NSD","N/A","N/A","43.2","40","NSD","N/A","N/A","46.6","54.4","15.2","N/A","N/A","42.1","61.5","22","N/A","N/A","38.2","60.6","18","N/A","N/A","24.4","33.6","6.6","N/A","0"
"Louisiana","17","6.5","8.6","N/A","N/A","27.8","15.1","NSD","N/A","N/A","37.5","23.6","17.1","N/A","N/A","36.5","28.3","19.5","N/A","N/A","31.3","21.5","14.2","N/A","N/A","21","12.7","6.4","N/A","N/A"
"Maine","26.9","N/A","N/A","N/A","N/A","33.8","NSD","N/A","N/A","N/A","42.7","NSD","N/A","N/A","NSD","48.3","NSD","N/A","N/A","N/A","38.8","77.1","N/A","N/A","N/A","27.8","63.6","N/A","0","N/A"
"Maryland","41.4","41.1","9.7","NSD","N/A","48.9","47.6","14.3","NSD","N/A","43.8","50.6","13","NSD","N/A","38.6","46.4","16.8","NSD","N/A","35","47.3","19.5","NSD","N/A","23.8","30.7","10.6","3.3","N/A"
"Massachusetts","32.9","20.6","30.8","NSD","N/A","32.9","34.6","35.1","NSD","N/A","35.4","33.4","36.9","NSD","NSD","33.1","48.8","43.1","NSD","N/A","29.2","50.3","40.4","3.7","N/A","18.9","22.6","25.1","N/A","N/A"
"Michigan","17.9","29.5","15.4","N/A","N/A","21.4","38.6","21.9","N/A","NSD","23.5","48.1","26.9","NSD","NSD","21.8","48.5","25","NSD","NSD","19.2","53.3","20.1","NSD","42.9","11.8","28.5","10.9","N/A","N/A"
"Minnesota","6.6","18.9","NSD","N/A","79.1","10.2","35.2","8.8","N/A","125.2","13.3","55.3","14.8","NSD","183.4","13.4","61.8","19.7","N/A","206.7","11.3","69.8","18.5","NSD","216.8","8.3","40.9","10.9","NSD","119.2"
"Mississippi","12.8","3.1","N/A","N/A","N/A","21.2","6.4","NSD","N/A","N/A","28","11","NSD","N/A","N/A","28","10.7","N/A","N/A","N/A","24.1","11","NSD","N/A","N/A","14.7","6.2","N/A","N/A","N/A"
"Missouri","16.6","44","NSD","N/A","N/A","20.4","60.2","10.2","N/A","N/A","23.8","66","11.4","N/A","N/A","23.3","65.7","13","N/A","N/A","20.5","68.3","13.2","N/A","N/A","12.9","38.7","8.4","N/A","0"
"Montana","6.8","N/A","N/A","N/A","N/A","7.9","N/A","N/A","N/A","NSD","9.7","N/A","N/A","N/A","36.3","10.4","NSD","N/A","N/A","37.9","10.1","NSD","N/A","NSD","38.6","7.8","N/A","N/A","0","34.1"
"Nebraska","3.8","N/A","N/A","N/A","N/A","5.5","NSD","N/A","N/A","N/A","5.9","20.3","N/A","N/A","N/A","5.8","27.5","N/A","N/A","NSD","4.3","NSD","N/A","NSD","N/A","3.6","10.3","N/A","0","N/A"
"Nevada","17.1","12.7","5.4","N/A","N/A","25.3","21.1","9.8","NSD","N/A","26.6","24.4","10.8","N/A","N/A","28","25.4","12.3","N/A","N/A","35.6","40.5","16.3","N/A","NSD","30.1","32.3","17.4","3.6","N/A"
"New Hampshire","31.5","N/A","NSD","N/A","N/A","29.2","N/A","N/A","N/A","N/A","29.8","N/A","NSD","N/A","N/A","33","NSD","NSD","N/A","N/A","31.4","N/A","NSD","N/A","N/A","20.4","N/A","N/A","N/A","N/A"
"New Jersey","36.5","40.8","19.4","NSD","N/A","35.8","42.6","21.1","3.1","N/A","32.6","50.4","22.4","2.9","N/A","30.1","54.4","23.6","3","N/A","25.6","51.5","21.9","NSD","N/A","18.8","30.1","13.8","1.5","0"
"New Mexico","16.5","N/A","24.8","N/A","12.1","23.8","50.3","31.1","N/A","14.8","29.4","NSD","44.3","N/A","25.3","31.5","NSD","40.3","N/A","39.2","26","NSD","43","N/A","39.9","19.5","24.3","29.1","0","18.1"
