"Title: Opioid Overdose Deaths and Death Rates per 100,000 Population for Adults by Age | KFF State Health Facts"
"Timeframe: 2019 - 2024"
"Location","2019__18 to 25","2019__26 to 44","2019__45 to 64","2019__65+","2020__18 to 25","2020__26 to 44","2020__45 to 64","2020__65+","2021__18 to 25","2021__26 to 44","2021__45 to 64","2021__65+","2022__18 to 25","2022__26 to 44","2022__45 to 64","2022__65+","2023__18 to 25","2023__26 to 44","2023__45 to 64","2023__65+","2024__18 to 25","2024__26 to 44","2024__45 to 64","2024__65+"
"United States","13.3","29.7","21.6","4.3","20.3","41.3","28.6","5.2","21.1","47.2","34.3","6.8","18.2","47.4","36.2","7.7","16.1","44.6","36","8.7","9.3","29.1","24.9","7"
"Alabama","7.2","18.5","11.5","1.6","12.9","27","16.1","2.5","16.8","46.6","22.6","3.2","13.7","50.5","29.4","3.2","16.9","53.3","30.7","5.9","8.1","34.9","23.9","3.6"
"Alaska","N/A","24.8","11.8","N/A","26.9","23.6","21.1","N/A","27.1","53.7","35.2","N/A","19","47","37.6","N/A","31.3","74.6","55.3","12.3","19.1","69.3","56.3","17.4"
"Arizona","28.2","32.9","21.7","5.3","45.1","50.3","27","5","35.1","57.9","31.1","6.7","23.4","54.4","35.4","6.7","20.5","54.4","35","9.3","12.8","44.2","34.1","8"
"Arkansas","6.9","13.9","8.7","N/A","9.1","21.6","10.9","3","9.8","31.6","14.8","1.9","10.9","28.4","16.1","3.3","8.3","22.9","12.6","3.1","5.8","12.7","7.3","1.8"
"California","10.6","12.8","11.5","4.3","21.6","22.6","18.1","5.9","21.8","31","24.3","8.1","17.9","33.2","26","8","15.8","36","28.7","9.4","9","24.1","20.4","8.2"
"Colorado","14.2","19.1","13.2","5","23","30.5","18.7","5.6","29.5","40.4","24.6","7","21.1","37.4","23.5","6.8","18.9","39","31","8.1","12.3","28.3","24","8.3"
"Connecticut","21.1","62.9","45","7.8","22.7","70.5","53.3","8.4","18.7","67.2","67.2","11.4","13.2","66.8","63.1","15.4","10.6","53","60.4","15.5","5.3","38.2","43.9","10.8"
"Delaware","34.8","94","53","N/A","25.3","90.4","60.1","10.1","16.8","93.3","72.2","9.4","29.2","89.5","80.7","17","13.1","95.2","69.4","14.1","9.8","51.6","49.1","10.5"
"District of Columbia","N/A","23.2","99.9","36.6","12.7","31.2","132.8","55.7","18","27.9","134.4","89.7","16","37","132.1","68.8","14.8","37.2","124.8","81.1","N/A","26.3","81.3","67.1"
"Florida","14.8","38.9","23.2","3.6","20.1","57","33.4","4.5","19.6","60.2","37.2","5.5","16.4","53.2","36.7","5.8","13.2","45.9","33.4","6.4","8.8","27.1","21.6","4.7"
"Georgia","6.4","15.3","12","2.7","11.5","25.2","15.1","4.3","15","35.7","19.7","4.4","15.3","38.9","22","5","15.3","34.4","22.4","4.9","8.3","23.8","14.6","4.4"
"Hawaii","N/A","5","6.1","5.2","N/A","8.9","8.5","N/A","8.1","9","9.4","4.6","N/A","12.6","11.6","3.7","N/A","18","14.5","3.3","N/A","14.3","14.2","5.8"
"Idaho","12.2","13","8.8","5.2","9.4","14.8","14.3","4.2","16.1","24.5","16.4","3.8","13.1","30.3","16.6","5.7","10.9","29.2","16.9","5.9","6.6","22.2","12.7","6.2"
"Illinois","12.2","30.1","30","5.1","20.5","39.2","39.2","7.7","19.5","38.6","41.7","8.7","15.5","42","44.1","10.5","13.8","36.3","40.6","11.4","8.4","21.9","26.5","8.8"
"Indiana","16.5","43.1","22.4","3.8","27.5","67","30.9","4.8","31.8","71.5","41.1","6","27.3","64.9","40.3","7.4","21.5","51.3","34.7","6.1","12","35.4","23.7","5.8"
"Iowa","5.1","10.4","7.2","1.8","9.3","15.1","8.8","N/A","10.7","17.2","9.2","2.1","7.3","16.6","9.1","1.7","9.7","15.7","9.8","3","6","11.6","6.6","N/A"
